NSN,rep_office,common_name,Description,Price,UI,AAC
5120-01-398-7886,Hardware,Socket Extension (Solid Shank),"This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",6.68,EA,H
5120-01-398-7894,Hardware,Socket (Regular Length),"Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",8.76,EA,H
5120-01-398-7917,Hardware,Metric Socket (Regular Length),"When working in a confined area with limited turning space, you need a metric socket to fix that problem. These are for hand use only, no impact wrenches. (Described by: Size, Drive, Point Style) ASME B107.5M",3.57,EA,H
5120-01-398-7919,Hardware,Metric Socket (Regular Length),"When working in a confined area with limited turning space, you need a metric socket to fix that problem. These are for hand use only, no impact wrenches. (Described by: Size, Drive, Point Style) ASME B107.5M",4.14,EA,H
5120-01-398-7922,Hardware,Socket Screwdriver Bit (Hex),"Socket with bit. The hardened steel tool has a plated or treated surface for corrosion resistance. Socket has a square female drive that attaches firmly to a socket drive handle. Described by (Size, Drive Size, Length).",8.38,EA,H
5120-01-398-7923,Hardware,Socket Screwdriver Bit (Hex),"Socket with bit. The hardened steel tool has a plated or treated surface for corrosion resistance. Socket has a square female drive that attaches firmly to a socket drive handle. Described by (Size, Drive Size, Length).",8.97,EA,H
5120-01-398-7933,Hardware,Socket Screwdriver Bit (Hex),"Socket with bit. The hardened steel tool has a plated or treated surface for corrosion resistance. Socket has a square female drive that attaches firmly to a socket drive handle. Described by (Size, Drive Size, Length).",10.22,EA,H
5120-01-398-7937,Hardware,Socket (Regular Length),"Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",6.75,EA,H
5120-01-398-7938,Hardware,Metric Socket (Regular Length),"Type I: Metric Sockets, Class 1: Metric Sockets, Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS",7.77,EA,H
5120-01-398-7943,Hardware,Socket (Regular Length),"Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",6.75,EA,H
5120-01-398-7944,Hardware,Metric Socket (Regular Length),"Type I: Metric Sockets, Class 1: Metric Sockets, Style A: Regular Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS",8.41,EA,H
5120-01-398-7946,Hardware,Flat Tip Screwdriver,"Type I : Screwdriver Assembly, Class I : Flat Tip, Style B: General Purpose Flared Sides. These straight, chrome plated, handle type, flat tip screwdrivers are for inserting and removing screws with a straight single slotted recess. It is the perfect tool",7.09,EA,H
5120-01-398-7950,Hardware,Screwdriver (Phillips),"Type I: Screwdriver Assembly Class 2: Cross Tip Phillips (PH) These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by",5.27,EA,H
5120-01-398-7951,Hardware,Screwdriver (Phillips),"Type I: Screwdriver Assembly Class 2: Cross Tip Phillips (PH) These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by",6.94,EA,H
5120-01-398-7973,Hardware,Flat Tip Screwdriver,"Type I : Screwdriver Assembly, Class I : Flat Tip, Style B: General Purpose Flared Sides. These straight, chrome plated, handle type, flat tip screwdrivers are for inserting and removing screws with a straight single slotted recess. It is the perfect tool",8.24,EA,H
5120-01-398-8033,Hardware,Metric Socket (Regular Length),"When working in a confined area with limited turning space, you need a metric socket to fix that problem. These are for hand use only, no impact wrenches. (Described by: Size, Drive, Point Style) ASME B107.5M",3.24,EA,H
5120-01-398-8053,Hardware,Screwdriver (Phillips),"Type I: Screwdriver Assembly Class 2: Cross Tip Phillips (PH) These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by",7.22,EA,H
5120-01-398-9148,Hardware,Open End Wrench (Double Head),"Regular Length These open ended, engineer's style double headed wrenches are chrome plated & have a 15° angle on both ends. B107.100 Cat 39.",9.2,EA,H
5120-01-398-9218,Hardware,Combination Wrench (Box and Open End),Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,9.63,EA,H
5120-01-398-9221,Hardware,Combination Wrench (Box and Open End),Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,8.32,EA,H
5120-01-398-9222,Hardware,Combination Wrench (Box and Open End),Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,8.32,EA,H
5120-01-398-9223,Hardware,Combination Wrench (Box and Open End),Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,19.28,EA,H
5120-01-398-9225,Hardware,Combination Wrench (Box and Open End),Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,8.41,EA,H
5120-01-398-9228,Hardware,Combination Wrench (Box and Open End),Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,25.16,EA,H
5120-01-398-9244,Hardware,Screwdriver (Phillips),"Class 2: Bolster. These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by all trades. Describe by (Tip Size, Total Le",8.32,EA,H
5120-01-398-9248,Hardware,Screwdriver (Phillips),"Type I: Screwdriver Assembly Class 2: Cross Tip Phillips (PH) These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by",3.2,EA,H
5120-01-398-9250,Hardware,Screwdriver (Phillips),"These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by all trades. Describe by (Tip Size, Total Length, Blade Length",15.82,EA,H
5120-01-398-9252,Hardware,Screwdriver (Phillips),"Type I: Screwdriver Assembly Class 2: Cross Tip Phillips (PH) These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by",9.74,EA,H
5120-01-398-9253,Hardware,Screwdriver (Phillips),"Type I: Screwdriver Assembly Class 2: Cross Tip Phillips (PH) These straight, handle type, corrosion preventive coated, Phillips or Pozidriv screwdrivers are for inserting and removing screws with a cross tip slotted recess. It is the perfect tool used by",5.77,EA,H
5120-01-398-9274,Hardware,Metric Socket (Long Length),"Type I: Metric Sockets, Class 1: Metric Sockets, Style C: Long Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS955",11.9,EA,H
5120-01-398-9275,Hardware,Metric Socket (Long Length),"Type I: Metric Sockets, Class 1: Metric Sockets, Style C: Long Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS955",11.18,EA,H
5120-01-398-9278,Hardware,Metric Socket (Long Length),"Type I: Metric Sockets, Class 1: Metric Sockets, Style C: Long Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS955",12.14,EA,H
5120-01-398-9291,Hardware,Combination Wrench (Box and Open End),Style B: Short Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,20.7,EA,H
5120-01-398-9294,Hardware,Combination Wrench (Box and Open End),Style B: Short Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,6.4,EA,H
5120-01-398-9295,Hardware,Combination Wrench (Box and Open End),Style B: Short Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,6.81,EA,H
5120-01-398-9296,Hardware,Combination Wrench (Box and Open End),Style B: Short Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,12.61,EA,H
5120-01-398-9303,Hardware,Open End Wrench (Double Head),"Regular Length These open ended, engineer's style double headed wrenches are chrome plated & have a 15° angle on both ends. B107.100 Cat 39.",11.65,EA,H
5120-01-398-9310,Hardware,Open End Wrench (Double Head),"Regular Length These open ended, engineer's style double headed wrenches are chrome plated & have a 15° angle on both ends. B107.100 Cat 39.",110.81,EA,H
5120-01-398-9322,Hardware,Combination Wrench (Box and Open End),Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.,15.4,EA,H
5120-01-398-9351,Hardware,Combination Wrench (Box and Open End),"Type III: Metric Combination Wrench, Class 1: 15° offset each end, Style B: Short length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and ",7.26,EA,H
